M,1,3,20
M,1,5,18
M,1,7,17
M,1,10,3
M,1,14,1
M,1,20,5
M,1,23,18
M,1,24,2
M,1,25,4
M,1,26,16
M,1,28,14
M,1,32,25
M,1,33,1
M,1,46,18
M,1,50,25
M,1,51,1
M,1,52,25
M,1,53,8
M,1,57,18
M,1,59,22
M,1,66,1
M,1,67,25
M,1,70,9
M,1,72,21
M,1,78,17
M,1,80,13
M,1,86,4
M,1,88,19
M,1,89,17
M,2,6,14
M,2,8,24
M,2,12,15
M,2,13,16
M,2,19,8
M,2,21,2
M,2,23,4
M,2,27,12
M,2,28,20
M,2,33,14
M,2,34,22
M,2,38,1
M,2,42,4
M,2,44,21
M,2,46,10
M,2,50,7
M,2,58,2
M,2,64,18
M,2,65,19
M,2,67,10
M,2,75,12
M,2,77,20
M,2,79,16
M,2,80,2
M,2,84,16
M,2,93,1
M,2,94,4
M,2,96,14
M,2,97,7
M,3,2,25
M,3,3,21
M,3,4,12
M,3,5,21
M,3,14,16
M,3,17,25
M,3,18,8
M,3,19,11
M,3,25,2
M,3,27,13
M,3,30,24
M,3,35,25
M,3,39,21
M,3,42,23
M,3,45,20
M,3,47,11
M,3,49,13
M,3,51,1
M,3,53,18
M,3,54,12
M,3,57,20
M,3,59,1
M,3,60,19
M,3,61,5
M,3,63,21
M,3,64,1
M,3,65,16
M,3,69,23
M,3,72,15
M,3,75,10
M,3,76,6
M,3,78,7
M,3,84,11
M,3,85,15
M,3,88,17
M,3,91,24
M,3,93,21
M,3,97,6
M,4,6,10
M,4,9,6
M,4,11,22
M,4,21,11
M,4,24,13
M,4,32,3
M,4,38,19
M,4,40,10
M,4,43,7
M,4,44,1
M,4,46,8
M,4,49,15
M,4,50,4
M,4,51,9
M,4,52,8
M,4,56,1
M,4,60,14
M,4,68,15
M,4,69,5
M,4,73,2
M,4,74,10
M,4,75,22
M,4,76,9
M,4,77,16
M,4,78,12
M,4,83,3
M,4,85,3
M,4,88,3
M,4,95,7
M,4,97,2
M,5,2,20
M,5,3,12
M,5,4,5
M,5,6,14
M,5,7,6
M,5,12,5
M,5,15,18
M,5,19,3
M,5,20,14
M,5,25,7
M,5,26,22
M,5,29,4
M,5,30,7
M,5,31,13
M,5,32,18
M,5,37,24
M,5,41,13
M,5,45,4
M,5,51,6
M,5,54,25
M,5,55,15
M,5,56,4
M,5,58,11
M,5,62,4
M,5,63,10
M,5,65,11
M,5,68,20
M,5,69,21
M,5,74,17
M,5,77,6
M,5,82,9
M,5,88,7
M,5,89,24
M,5,92,15
M,5,98,16
M,5,99,14
M,6,12,14
M,6,14,15
M,6,15,14
M,6,23,18
M,6,25,8
M,6,27,14
M,6,28,7
M,6,30,5
M,6,31,20
M,6,41,18
M,6,42,11
M,6,43,25
M,6,44,9
M,6,46,19
M,6,52,14
M,6,53,24
M,6,54,20
M,6,56,24
M,6,58,6
M,6,61,14
M,6,65,4
M,6,66,23
M,6,67,15
M,6,71,9
M,6,72,2
M,6,73,5
